etablissement_id,site_web,adresse,nb_etudiants,url_logo,url_image
0520032C,https://lyc-baudot.monbureaunumerique.fr/,Route de Saint-Dizier 52130 Wassy,168,,
0520032C,https://lyc-baudot.monbureaunumerique.fr/,Route de Saint-Dizier 52130 Wassy,184,,
0600041U,https://charles-de-bovelles-noyon.ac-amiens.fr/,Rue Jean Moulin 60402 Noyon,393,,
0600041U,https://charles-de-bovelles-noyon.ac-amiens.fr/,Rue Jean Moulin 60402 Noyon,409,,
0020052W,https://www.lycee-colard-noel.fr//,132 avenue de la République 02100 Saint-Quentin,449,,
0020052W,https://www.lycee-colard-noel.fr//,132 avenue de la République 02100 Saint-Quentin,459,,
0601870G,https://andre-malraux-montataire.ac-amiens.fr/,1 place Nelson Mandela 60761 Montataire,452,,
0601870G,https://andre-malraux-montataire.ac-amiens.fr/,1 place Nelson Mandela 60761 Montataire,459,,
0141164P,https://www.saintemarie-saintpierre-caen.fr/,8 avenue de la Croix Guérin 14000 Caen,888,,
0141164P,https://www.saintemarie-saintpierre-caen.fr/,8 avenue de la Croix Guérin 14000 Caen,900,,
0170058W,http://www.lycee-bellevue-saintes.fr,1 chemin des cotières BP 10309 17107 Saintes,861,,
